route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
580,0000000592025061320250909,0004256102025061320250909,Piazzale S.Giorgio Ovest,0,D467_R5625a_Andata_sub2,1
580,0000000592025061320250909,0004256112025061320250909,Baldresca,0,D467_R5625a_Andata_sub2,1
580,0000000822025061320250909,0004256122025061320250909,Piazzale S.Giorgio Ovest,0,D467_R5625a_Andata_sub2,1
580,0000000662025061320250909,0004256132025061320250909,Piazzale S.Giorgio Ovest,0,D467_R5625a_Andata_sub2,1
580,0000000592025061320250909,0004256142025061320250909,Costa Capolinea,1,D472_R5632a_Ritorno_PRINCIPALE_sub2,1
580,0000000592025061320250909,0004256152025061320250909,Costa Capolinea,1,D466_R5610b_Ritorno_sub1,1
580,0000000592025061320250909,0004256162025061320250909,Costa Capolinea,1,D472_R5632a_Ritorno_PRINCIPALE_sub2,1
580,0000000592025061320250909,0004256172025061320250909,Costa Capolinea,1,D472_R5632a_Ritorno_PRINCIPALE_sub2,1
580,0000000592025061320250909,0004256182025061320250909,Costa Capolinea,1,D469_R5628b_Ritorno_sub2,1
580,0000000592025061320250909,0004256192025061320250909,Costa Capolinea,1,D472_R5632a_Ritorno_PRINCIPALE_sub2,1
580,0000000592025061320250909,0004256202025061320250909,Costa Capolinea,1,D472_R5632a_Ritorno_PRINCIPALE_sub2,1
580,0000000592025061320250909,0004256212025061320250909,Costa Capolinea,1,D472_R5632a_Ritorno_PRINCIPALE_sub2,1
580,0000000592025061320250909,0004256222025061320250909,Costa Capolinea,1,D466_R5610b_Ritorno_sub1,1
580,0000000592025061320250909,0004256232025061320250909,Costa Capolinea,1,D472_R5632a_Ritorno_PRINCIPALE_sub2,1
580,0000000592025061320250909,0004256242025061320250909,Costa Capolinea,1,D466_R5610b_Ritorno_sub1,1
580,0000000592025061320250909,0004256252025061320250909,Costa Capolinea,1,D472_R5632a_Ritorno_PRINCIPALE_sub2,1
580,0000000592025061320250909,0004256262025061320250909,Costa Capolinea,1,D466_R5610b_Ritorno_sub1,1
580,0000000662025061320250909,0004256302025061320250909,Stazione Fs,0,D475_R5641b_Andata_(Ospedale)_sub2,1
598,0000000662025061320250909,0004256592025061320250909,Nomi Piazza Springa,0,D59_C5825_Andata_sub2,2
598,0000000662025061320250909,0004256602025061320250909,Nomi Piazza Springa,0,D57_C5823_Andata_sub1,2
598,0000000662025061320250909,0004256612025061320250909,Nomi Piazza Springa,0,D55_C5821_Andata_sub2,2
